#                                                           
# //$$        /$$       /$$       $$ /$$$$$$$   $$    $$    
# | $$       //$$    $$| $$$    /$$$| $$       /$$$$  $$    
# | $$       | $$    $$| $$$$  /$$$$| $$      | $$$$$ $$    
# | $$       | $$    $$| $$ $$/$$ $$| $$$$$$$ | $$ $$$$$    
# | $$       | $$    $$| $$  $$$| $$| $$      | $$   $$$    
# | $$       | $$    $$| $$\  $ | $$| $$      | $$    $$    
# | $$$$$$$  | $$$$$$$$| $$     | $$| $$$$$$$/| $$    $$    
# |______/   |________/|__/     |__/|_______/  \__/  \_/    
#                                                           
#             GPL Version 1.0.0 Revision 120                
#                       MPI Build                           
#                 (based on Yambo 4.1.2)                    
#
#[RT] Time steps       :10667
#[RT] Time step    [fs]:  0.01500
#[NL] Damping      [fs]:  0.05000
#[NL] Bands   ange     :34 - 47
#[NL] Energy range     : 0.700000 -  2.050000
#[NL] Number of freqs  :192
#[NL] Number of intens :1
#[NL] Force 2nd approx : no
#[NL] Use DIPOLES      : no
#[RT] Integrator           :CRANKNIC
#[NL] Correlation           :LSEX
#[NL] Number of G in NL-dynamics  :123
#[NL] Number of G in Oscillators  :1
# [FIELDs] Type           :SOFTSIN
#[FIELDs] Versor                : 0.000000  1.000000  0.000000
#[FIELDs] Intensity     [kWCMm2]: 1000.
#[FIELDs] Damping           [fs]: 82.68275
#[FIELDs] Frequency range   [eV]:  0.10000
#[FIELDs] Initial time      [fs]:  0.01500
#
#  Efield Denominator =  -0.2807558530E+12  0.0000000000E+00
#  Amplitude rescale factor: 1
#
  # E [eV]         X/Im[cm/stV](x)  X/Re[cm/stV](x)  X/Im[cm/stV](y)  X/Re[cm/stV](y)  X/Im[cm/stV](z)  X/Re[cm/stV](z)
   1.121875000     -.4226978902E-8  0.1187958696E-6  -.4093919929E-5  0.8195928447E-5   0.000000000      0.000000000   
   1.128906250     -.2440245038E-7  0.1076662573E-6  -.4863258074E-5  0.9578346965E-5   0.000000000      0.000000000   
   1.135937500     -.4367786102E-7  0.9457476165E-7  -.5923673480E-5  0.1059729766E-4   0.000000000      0.000000000   
   1.142968750     -.6253000673E-7  0.7677302970E-7  -.7406912419E-5  0.1151167307E-4   0.000000000      0.000000000   
   1.150000000     -.7781594888E-7  0.5119215875E-7  -.9093514371E-5  0.1225939343E-4   0.000000000      0.000000000   
   1.157031250     -.8260146803E-7  0.1864367993E-7  -.1152040538E-4  0.1273856694E-4   0.000000000      0.000000000   
   1.164062500     -.7255222398E-7  -.1228474853E-7  -.1448601488E-4  0.1253899335E-4   0.000000000      0.000000000   
   1.171093750     -.5308798230E-7  -.3290856358E-7  -.1802266882E-4  0.1078048355E-4   0.000000000      0.000000000   
   1.178125000     -.3293071882E-7  -.4295511233E-7  -.2062684610E-4  0.7112345477E-5   0.000000000      0.000000000   
   1.185156250     -.1599221591E-7  -.4718139160E-7  -.2086970584E-4  0.2173130614E-5   0.000000000      0.000000000   
   1.192187500     -.2032150540E-8  -.4943686785E-7  -.1844050134E-4  -.1488797014E-5   0.000000000      0.000000000   
   1.199218750     0.1069534695E-7  -.5170922568E-7  -.1517826426E-4  -.3057399040E-5   0.000000000      0.000000000   
   1.206250000     0.2400017343E-7  -.5448441035E-7  -.1250472008E-4  -.2720204392E-5   0.000000000      0.000000000   
   1.213281250     0.3956427903E-7  -.5738677619E-7  -.1074991196E-4  -.1736555079E-5   0.000000000      0.000000000   
   1.220312500     0.5861841789E-7  -.5958694653E-7  -.9963518372E-5  -.3139329511E-6   0.000000000      0.000000000   
